Iteration,T-Red Collected,T- Green Collected,T- Yellow Collected,T- Blue Collected,Cur. Lrn Req.,Cur. Teach Resp.,Cur. RandomWalk States,Cur. Target Carry States,Cum. Lrn. Req.,Cum. Teach. Resp.,Direct Learn Cum,Buf Learn Cum.,Cum. Pass Learn,Cum Targets Carried,Cur. Known St. Red,Cur. Known St. Green,Cur. Known St. Yellow,Cur. Known St. Blue,Cur. 0 Cond. Known,Cur. 1 Cond. Known,Cur. 2 Cond. Known,Cur. 3 Cond. Known,Cur. 4 Cond. Known

12000,25,24,25,24,0,0,50,0,65,42,42,0,0,98,33,37,35,37,2,4,19,0,25,
12100,25,24,25,24,0,0,50,0,65,42,42,0,0,98,33,37,35,37,2,4,19,0,25,

12200,25,24,25,24,0,0,50,0,65,42,42,0,0,98,33,37,35,37,2,4,19,0,25,
12300,25,24,25,24,1,0,49,0,66,42,42,0,0,98,33,37,35,37,2,4,19,0,25,

12400,25,24,25,24,1,0,49,0,66,42,42,0,0,98,33,37,35,37,2,4,19,0,25,
12500,25,24,25,24,1,0,49,0,66,42,42,0,0,98,33,37,35,37,2,4,19,0,25,

12600,25,24,25,24,1,0,49,0,66,42,42,0,0,98,33,37,35,37,2,4,19,0,25,
12700,25,24,25,24,1,0,49,0,66,42,42,0,0,98,33,37,35,37,2,4,19,0,25,

